hanzi_simplified,hanzi_traditional,pinyin,english_meanings,hsk_levels,pos,frequency_rank,character_count,length_bucket,example_zh,example_en
不好意思,不好意思,bù hǎo yì si,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb),"newest-2, new-2, old-5","v, a",2805,4,4+-char,我每天都不好意思。,I to feel embarrassed every day.
也就是说,也就是說,yě jiù shì shuō,in other words; that is to say; so; thus,new-7,v,3200,4,4+-char,我每天都也就是说。,I in other words every day.
改革开放,改革開放,gǎi gé kāi fàng,to reform and open to the outside world; refers to Deng Xiaoping's policies from around 1980,new-7,,3630,4,4+-char,我在学习“改革开放”。,I'm learning '改革开放'.
不可思议,不可思議,bù kě sī yì,inconceivable (idiom); unimaginable; unfathomable,"newest-7, new-7, old-6",l,4689,4,4+-char,我在学习“不可思议”。,I'm learning '不可思议'.
与此同时,與此同時,yǔ cǐ tóng shí,at the same time; meanwhile,new-7,c,4800,4,4+-char,我在学习“与此同时”。,I'm learning '与此同时'.
无论如何,無論如何,wú lùn rú hé,whatever the case; in any event; no matter what; by all possible means,"newest-7, new-7",l,4814,4,4+-char,我在学习“无论如何”。,I'm learning '无论如何'.
另一方面,另一方面,lìng yī fāng miàn,on the other hand; another aspect,new-3,c,4851,4,4+-char,我在学习“另一方面”。,I'm learning '另一方面'.
高速公路,高速公路,gāo sù gōng lù,expressway; highway; freeway,new-3,n,5363,4,4+-char,这是高速公路。,This is an expressway; highway; freeway.
中华民族,中華民族,Zhōng huá mín zú,the Chinese nation; the Chinese people (collective reference to all the ethnic groups in China),"newest-5, new-3",,6125,4,4+-char,我在学习“中华民族”。,I'm learning '中华民族'.
与众不同,與眾不同,yǔ zhòng bù tóng,to stand out from the masses (idiom),"newest-7, new-7",v,6561,4,4+-char,我每天都与众不同。,I to stand out from the masses every day.
除此之外,除此之外,chú cǐ zhī wài,apart from this; in addition to this,new-7,"l, c",6961,4,4+-char,我在学习“除此之外”。,I'm learning '除此之外'.
社会主义,社會主義,shè huì zhǔ yì,socialism,"newest-7, new-7",n,7317,4,4+-char,这是社会主义。,This is a socialism.
莫名其妙,莫名其妙,mò míng qí miào,(idiom) baffling; bizarre; without rhyme or reason; inexplicable,"newest-7, new-7, old-6",l,7558,4,4+-char,我在学习“莫名其妙”。,I'm learning '莫名其妙'.
好不容易,好不容易,hǎo bù róng yì,with great difficulty; very difficult,new-6,l,7605,4,4+-char,我在学习“好不容易”。,I'm learning '好不容易'.
绝大多数,絕大多數,jué dà duō shù,the vast majority,new-6,m,7627,4,4+-char,我有三绝大多数。,I have three the vast majority.
至关重要,至關重要,zhì guān zhòng yào,extremely important; vital; crucial; essential,"newest-6, new-7",l,7960,4,4+-char,我在学习“至关重要”。,I'm learning '至关重要'.
一模一样,一模一樣,yī mú yī yàng,exactly the same (idiom); carbon copy; also pr. [yī mó yī yàng],"newest-6, new-6",l,8179,4,4+-char,我在学习“一模一样”。,I'm learning '一模一样'.
前所未有,前所未有,qián suǒ wèi yǒu,unprecedented,"newest-7, new-7",v,8193,4,4+-char,我每天都前所未有。,I unprecedented every day.
高尔夫球,高爾夫球,gāo ěr fū qiú,golf; golf ball,new-7,n,8444,4,4+-char,这是高尔夫球。,This is a golf.
独一无二,獨一無二,dú yī wú èr,unique and unmatched (idiom); unrivalled; nothing compares with it,"newest-7, new-7",l,8494,4,4+-char,我在学习“独一无二”。,I'm learning '独一无二'.
无能为力,無能為力,wú néng wéi lì,impotent (idiom); powerless; helpless,"newest-7, new-7, old-6",v,8626,4,4+-char,我每天都无能为力。,I impotent every day.
不可避免,不可避免,bù kě bì miǎn,unavoidably,new-7,v,8664,4,4+-char,我每天都不可避免。,I unavoidably every day.
迫不及待,迫不及待,pò bù jí dài,impatient (idiom); in a hurry; itching to get on with it,"newest-7, new-7, old-6",l,8697,4,4+-char,我在学习“迫不及待”。,I'm learning '迫不及待'.
未成年人,未成年人,wèi chéng nián rén,minor (i.e. person under 18),"newest-6, new-7",n,8740,4,4+-char,这是未成年人。,This is a minor.
乱七八糟,亂七八糟,luàn qī bā zāo,(idiom) chaotic; in disorder; muddled,"newest-7, new-7",l,8907,4,4+-char,我在学习“乱七八糟”。,I'm learning '乱七八糟'.
资本主义,資本主義,zī běn zhǔ yì,capitalism,"newest-7, new-7",n,9043,4,4+-char,这是资本主义。,This is a capitalism.
迄今为止,迄今為止,qì jīn wéi zhǐ,so far; up to now; still (not),"new-7, old-6",l,9179,4,4+-char,我在学习“迄今为止”。,I'm learning '迄今为止'.
一般来说,一般來說,yī bān lái shuō,generally speaking,new-4,v,9210,4,4+-char,我每天都一般来说。,I generally speaking every day.
引人注目,引人注目,yǐn rén zhù mù,to attract attention; eye-catching; conspicuous,"newest-7, new-7",v,9290,4,4+-char,我每天都引人注目。,I to attract attention every day.
一如既往,一如既往,yī rú jì wǎng,just as in the past (idiom); as before; continuing as always,"newest-7, new-7, old-6",v,9416,4,4+-char,我每天都一如既往。,I just as in the past ; as before every day.
全力以赴,全力以赴,quán lì yǐ fù,to do at all costs; to make an all-out effort,"newest-7, new-7, old-6",v,9514,4,4+-char,我每天都全力以赴。,I to do at all costs every day.
难以置信,難以置信,nán yǐ zhì xìn,hard to believe; incredible,"newest-7, new-7",v,9559,4,4+-char,我每天都难以置信。,I hard to believe every day.
总的来说,總的來說,zǒng de lái shuō,generally speaking; to sum up; in summary; in short,new-7,"c, l",9622,4,4+-char,我在学习“总的来说”。,I'm learning '总的来说'.
电子邮件,電子郵件,diàn zǐ yóu jiàn,email,new-3,,9822,4,4+-char,我在学习“电子邮件”。,I'm learning '电子邮件'.
成千上万,成千上萬,chéng qiān shàng wàn,lit. by the thousands and tens of thousands (idiom); untold numbers; innumerable; thousands upon thousands,"newest-6, new-7",v,9841,4,4+-char,我每天都成千上万。,I lit. by the thousands and tens of thousands ; untold numbers every day.
大吃一惊,大吃一驚,dà chī yī jīng,to have a surprise (idiom); shocked or startled; gobsmacked,"newest-6, new-7",v,9934,4,4+-char,我每天都大吃一惊。,I to have a surprise ; shocked or startled every day.
众所周知,眾所周知,zhòng suǒ zhōu zhī,as everyone knows (idiom),"newest-6, new-7, old-6",v,9992,4,4+-char,我每天都众所周知。,I as everyone knows every day.
理所当然,理所當然,lǐ suǒ dāng rán,as it should be by rights (idiom); proper and to be expected as a matter of course; inevitable and right,"newest-7, new-7, old-6",l,10068,4,4+-char,我在学习“理所当然”。,I'm learning '理所当然'.
意想不到,意想不到,yì xiǎng bù dào,unexpected; previously unimagined,"newest-7, new-6",v,10435,4,4+-char,我每天都意想不到。,I unexpected every day.
恰恰相反,恰恰相反,qià qià xiāng fǎn,just the opposite,new-7,c,10439,4,4+-char,我在学习“恰恰相反”。,I'm learning '恰恰相反'.
显而易见,顯而易見,xiǎn ér yì jiàn,clearly and easy to see (idiom); obviously; clearly; it goes without saying,"newest-7, new-7",l,10457,4,4+-char,我在学习“显而易见”。,I'm learning '显而易见'.
不同寻常,不同尋常,bù tóng xún cháng,out of the ordinary; unusual,new-7,v,10746,4,4+-char,我每天都不同寻常。,I out of the ordinary every day.
脱颖而出,脫穎而出,tuō yǐng ér chū,to reveal one's talent (idiom); to rise above others; to distinguish oneself,"newest-7, new-7",v,10861,4,4+-char,我每天都脱颖而出。,I to reveal one's talent every day.
不知不觉,不知不覺,bù zhī bù jué,unconsciously; unwittingly,"newest-7, new-7",l,10896,4,4+-char,我在学习“不知不觉”。,I'm learning '不知不觉'.
一塌糊涂,一塌糊塗,yī tā hú tu,muddled and completely collapsing (idiom); in an awful condition; complete shambles; a total mess,"newest-7, new-7",l,11014,4,4+-char,我在学习“一塌糊涂”。,I'm learning '一塌糊涂'.
毫不犹豫,毫不猶豫,háo bù yóu yù,without the slightest hesitation,new-7,l,11117,4,4+-char,我在学习“毫不犹豫”。,I'm learning '毫不犹豫'.
小心翼翼,小心翼翼,xiǎo xīn yì yì,cautious and solemn (idiom); very carefully; prudent; gently and cautiously,"newest-7, new-7, old-6",l,11125,4,4+-char,我在学习“小心翼翼”。,I'm learning '小心翼翼'.
全心全意,全心全意,quán xīn quán yì,heart and soul; wholeheartedly,"newest-7, new-7",l,11148,4,4+-char,我在学习“全心全意”。,I'm learning '全心全意'.
不为人知,不為人知,bù wéi rén zhī,not known to anyone; secret; unknown,new-7,v,11433,4,4+-char,我每天都不为人知。,I not known to anyone every day.
一无所有,一無所有,yī wú suǒ yǒu,not having anything at all (idiom); utterly lacking; without two sticks to rub together,"newest-7, new-7",v,11565,4,4+-char,我每天都一无所有。,I not having anything at all ; utterly lacking every day.
情不自禁,情不自禁,qíng bù zì jīn,unable to restrain emotions; cannot help,"newest-7, new-7",l,11914,4,4+-char,我在学习“情不自禁”。,I'm learning '情不自禁'.
一无所知,一無所知,yī wú suǒ zhī,not knowing anything at all (idiom); completely ignorant; without an inkling,"newest-7, new-7",v,11975,4,4+-char,我每天都一无所知。,I not knowing anything at all ; completely ignorant every day.
自以为是,自以為是,zì yǐ wéi shì,to believe oneself infallible (idiom); to be opinionated,"newest-7, new-7",v,12001,4,4+-char,我每天都自以为是。,I to believe oneself infallible every day.
出人意料,出人意料,chū rén yì liào,unexpected (idiom); surprising,"newest-7, new-7",v,12127,4,4+-char,我每天都出人意料。,I unexpected every day.
截然不同,截然不同,jié rán bù tóng,entirely different; different as black and white,"newest-7, new-7",v,12240,4,4+-char,我每天都截然不同。,I entirely different every day.
有所不同,有所不同,yǒu suǒ bù tóng,to differ to some extent (idiom),new-7,v,12326,4,4+-char,我每天都有所不同。,I to differ to some extent every day.
所作所为,所作所為,suǒ zuò suǒ wéi,one's conduct and deeds,"newest-7, new-7",l,12356,4,4+-char,我在学习“所作所为”。,I'm learning '所作所为'.
想方设法,想方設法,xiǎng fāng shè fǎ,"to think up every possible method (idiom); to devise ways and means; to try this, that and the other","newest-7, new-7, old-6",l,12483,4,4+-char,我在学习“想方设法”。,I'm learning '想方设法'.
随心所欲,隨心所欲,suí xīn suǒ yù,to follow one's heart's desires; to do as one pleases (idiom),"newest-7, new-7",v,12643,4,4+-char,我每天都随心所欲。,I to follow one's heart's desires every day.
讨价还价,討價還價,tǎo jià huán jià,to haggle over price; to bargain,"newest-7, new-7, old-6",v,12869,4,4+-char,我每天都讨价还价。,I to haggle over price every day.
公共场所,公共場所,gōng gòng chǎng suǒ,public place,new-7,n,12998,4,4+-char,这是公共场所。,This is a public place.
二氧化碳,二氧化碳,èr yǎng huà tàn,carbon dioxide CO2,"newest-6, new-7, old-6",n,13139,4,4+-char,这是二氧化碳。,This is a carbon dioxide CO2.
自然而然,自然而然,zì rán ér rán,involuntary; automatically,"newest-7, new-7",l,13203,4,4+-char,我在学习“自然而然”。,I'm learning '自然而然'.
顺其自然,順其自然,shùn qí zì rán,to let nature take its course (idiom),"newest-7, new-7",,13447,4,4+-char,我在学习“顺其自然”。,I'm learning '顺其自然'.
随时随地,隨時隨地,suí shí suí dì,anytime and anywhere,"newest-7, new-7",l,13454,4,4+-char,我在学习“随时随地”。,I'm learning '随时随地'.
自言自语,自言自語,zì yán zì yǔ,to talk to oneself; to think aloud; to soliloquize,"newest-6, new-6",l,13534,4,4+-char,我在学习“自言自语”。,I'm learning '自言自语'.
公共汽车,公共汽車,gōng gòng qì chē,bus,"new-2, old-2",,13591,4,4+-char,我在学习“公共汽车”。,I'm learning '公共汽车'.
一举一动,一舉一動,yī jǔ yī dòng,every movement; each and every move,"newest-7, new-7",l,13650,4,4+-char,我在学习“一举一动”。,I'm learning '一举一动'.
帝国主义,帝國主義,dì guó zhǔ yì,imperialism,new-7,n,13706,4,4+-char,这是帝国主义。,This is an imperialism.
轻而易举,輕而易舉,qīng ér yì jǔ,easy; with no difficulty,"newest-7, new-7, old-6",l,13706,4,4+-char,我在学习“轻而易举”。,I'm learning '轻而易举'.
名副其实,名副其實,míng fù qí shí,"not just in name only, but also in reality (idiom); aptly named; worthy of the name","newest-7, new-7, old-6",v,13990,4,4+-char,我每天都名副其实。,"I not just in name only, but also in reality every day."
没完没了,沒完沒了,méi wán méi liǎo,without end; incessantly; on and on,"newest-7, new-7",v,14136,4,4+-char,我每天都没完没了。,I without end every day.
一不小心,一不小心,yī bù xiǎo xīn,to be a little bit careless; to have a moment of inattentiveness,new-7,l,14161,4,4+-char,我在学习“一不小心”。,I'm learning '一不小心'.
微不足道,微不足道,wēi bù zú dào,negligible; insignificant,"newest-7, new-7, old-6",v,14170,4,4+-char,我每天都微不足道。,I negligible; insignificant every day.
不由自主,不由自主,bù yóu zì zhǔ,can't help; involuntarily (idiom),"newest-7, new-7",l,14247,4,4+-char,我在学习“不由自主”。,I'm learning '不由自主'.
竭尽全力,竭盡全力,jié jìn quán lì,to spare no effort (idiom); to do one's utmost,"newest-7, new-7, old-6",v,14314,4,4+-char,我每天都竭尽全力。,I to spare no effort ; to do one's utmost every day.
胡思乱想,胡思亂想,hú sī luàn xiǎng,to indulge in flights of fancy (idiom); to let one's imagination run wild,"newest-7, new-7",,14791,4,4+-char,我在学习“胡思乱想”。,I'm learning '胡思乱想'.
十字路口,十字路口,shí zì lù kǒu,crossroads; intersection,"newest-4, new-7",l,14800,4,4+-char,我在学习“十字路口”。,I'm learning '十字路口'.
恰到好处,恰到好處,qià dào hǎo chù,it's just perfect; it's just right,"newest-7, new-7, old-6",l,14885,4,4+-char,我在学习“恰到好处”。,I'm learning '恰到好处'.
无关紧要,無關緊要,wú guān jǐn yào,indifferent; insignificant,"newest-7, new-7",v,14902,4,4+-char,我每天都无关紧要。,I indifferent every day.
当务之急,當務之急,dāng wù zhī jí,top priority job; matter of vital importance,"newest-7, new-7, old-6",l,14997,4,4+-char,我在学习“当务之急”。,I'm learning '当务之急'.
丰富多彩,豐富多彩,fēng fù duō cǎi,richly colorful,"newest-5, new-7",v,15312,4,4+-char,我每天都丰富多彩。,I richly colorful every day.
无话可说,無話可說,wú huà kě shuō,to have nothing to say (idiom),"newest-7, new-7",v,15411,4,4+-char,我每天都无话可说。,I to have nothing to say every day.
一天到晚,一天到晚,yī tiān dào wǎn,all day long; the whole day,new-7,l,15466,4,4+-char,我在学习“一天到晚”。,I'm learning '一天到晚'.
必不可少,必不可少,bì bù kě shǎo,absolutely necessary; indispensable; essential,"newest-7, new-7",v,15604,4,4+-char,我每天都必不可少。,I absolutely necessary every day.
无家可归,無家可歸,wú jiā kě guī,homeless,"newest-7, new-7",v,15746,4,4+-char,我每天都无家可归。,I homeless every day.
知识分子,知識分子,zhī shi fèn zǐ,intellectual; intelligentsia; learned person,"newest-7, new-7",n,15978,4,4+-char,这是知识分子。,This is an intellectual.
突如其来,突如其來,tū rú qí lái,to arise abruptly; to arrive suddenly; happening suddenly,"newest-7, new-7",l,15992,4,4+-char,我在学习“突如其来”。,I'm learning '突如其来'.
千方百计,千方百計,qiān fāng bǎi jì,"lit. thousand ways, a hundred plans (idiom); by every possible means","newest-7, new-7, old-6",l,16008,4,4+-char,我在学习“千方百计”。,I'm learning '千方百计'.
新陈代谢,新陳代謝,xīn chén dài xiè,metabolism (biology); the new replaces the old (idiom),"newest-7, new-7, old-6",v,16136,4,4+-char,我每天都新陈代谢。,I metabolism every day.
实话实说,實話實說,shí huà shí shuō,to tell the truth; to tell it as it is,"newest-7, new-7",v,16161,4,4+-char,我每天都实话实说。,I to tell the truth every day.
各式各样,各式各樣,gè shì gè yàng,(of) all kinds and sorts; various,new-7,l,16165,4,4+-char,我在学习“各式各样”。,I'm learning '各式各样'.
或多或少,或多或少,huò duō huò shǎo,more or less,"newest-7, new-7",d,16166,4,4+-char,他或多或少来。,He comes more or less.
一动不动,一動不動,yī dòng bù dòng,motionless,"newest-7, new-7",l,16188,4,4+-char,我在学习“一动不动”。,I'm learning '一动不动'.
无所事事,無所事事,wú suǒ shì shì,to have nothing to do; to idle one's time away (idiom),"newest-7, new-7",v,16294,4,4+-char,我每天都无所事事。,I to have nothing to do every day.
不正之风,不正之風,bù zhèng zhī fēng,unhealthy tendency,"newest-7, new-7",,16308,4,4+-char,我在学习“不正之风”。,I'm learning '不正之风'.
取而代之,取而代之,qǔ ér dài zhī,(idiom) to replace; to supersede; to take its (or her etc) place,"newest-7, new-7",v,16470,4,4+-char,我每天都取而代之。,I to replace; to supersede; to take its  place every day.
坚持不懈,堅持不懈,jiān chí bù xiè,to persevere unremittingly (idiom); to keep going until the end,new-7,v,16488,4,4+-char,我每天都坚持不懈。,I to persevere unremittingly ; to keep going until the end every day.
念念不忘,念念不忘,niàn niàn bù wàng,to keep in mind constantly (idiom),"newest-7, new-7",v,16511,4,4+-char,我每天都念念不忘。,I to keep in mind constantly every day.
无动于衷,無動於衷,wú dòng yú zhōng,aloof; indifferent; unconcerned,"newest-7, old-6",v,16560,4,4+-char,我每天都无动于衷。,I aloof every day.
不择手段,不擇手段,bù zé shǒu duàn,by fair means or foul; by hook or by crook; unscrupulously,old-6,l,16590,4,4+-char,我在学习“不择手段”。,I'm learning '不择手段'.
大惊小怪,大驚小怪,dà jīng xiǎo guài,to make a fuss about nothing (idiom),"newest-7, new-7",l,16657,4,4+-char,我在学习“大惊小怪”。,I'm learning '大惊小怪'.
史无前例,史無前例,shǐ wú qián lì,unprecedented in history,"newest-7, new-7",l,16692,4,4+-char,我在学习“史无前例”。,I'm learning '史无前例'.
相提并论,相提並論,xiāng tí bìng lùn,to discuss two disparate things together (idiom); to mention on equal terms; to place on a par with; (often with negatives: impossible to mention X in the same breath as Y),"newest-7, new-7",v,17200,4,4+-char,我每天都相提并论。,I to discuss two disparate things together ; to mention on equal terms every day.
齐心协力,齊心協力,qí xīn xié lì,to work with a common purpose (idiom); to make concerted efforts; to pull together; to work as one,"newest-7, new-7, old-6",v,17271,4,4+-char,我每天都齐心协力。,I to work with a common purpose ; to make concerted efforts every day.
措手不及,措手不及,cuò shǒu bù jí,no time to deal with it (idiom); caught unprepared,"newest-7, new-7",l,17342,4,4+-char,我在学习“措手不及”。,I'm learning '措手不及'.
西班牙语,西班牙語,Xī bān yá yǔ,Spanish language,new-6,nz,17382,4,4+-char,这是西班牙语。,This is a Spanish language.
自力更生,自力更生,zì lì gēng shēng,regeneration through one's own effort (idiom); self-reliance,"newest-7, new-7, old-6",v,17454,4,4+-char,我每天都自力更生。,I regeneration through one's own effort every day.
无理取闹,無理取鬧,wú lǐ qǔ nào,to make trouble without reason (idiom); to be deliberately provocative,old-6,v,17505,4,4+-char,我每天都无理取闹。,I to make trouble without reason ; to be deliberately provocative every day.
一路顺风,一路順風,yī lù shùn fēng,to have a pleasant journey (idiom),"newest-5, new-2",v,17523,4,4+-char,我每天都一路顺风。,I to have a pleasant journey every day.
自始至终,自始至終,zì shǐ zhì zhōng,from start to finish (idiom),"newest-7, new-7",l,17560,4,4+-char,我在学习“自始至终”。,I'm learning '自始至终'.
一帆风顺,一帆風順,yī fān fēng shùn,propitious wind throughout the journey (idiom); plain sailing; to go smoothly; have a nice trip!,"newest-6, new-7, old-6",v,17562,4,4+-char,我每天都一帆风顺。,I propitious wind throughout the journey every day.
心想事成,心想事成,xīn xiǎng shì chéng,to have one's wishes come true; wish you the best!,"newest-7, new-7",v,17746,4,4+-char,我每天都心想事成。,I to have one's wishes come true every day.
亲朋好友,親朋好友,qīn péng hǎo yǒu,friends and family; kith and kin,"newest-5, new-7",l,17899,4,4+-char,我在学习“亲朋好友”。,I'm learning '亲朋好友'.
罪魁祸首,罪魁禍首,zuì kuí huò shǒu,"criminal ringleader, main offender (idiom); main culprit; fig. main cause of a disaster","newest-7, new-7",l,18017,4,4+-char,我在学习“罪魁祸首”。,I'm learning '罪魁祸首'.
方方面面,方方面面,fāng fāng miàn miàn,all sides; all aspects; multifaceted,"newest-6, new-7",n,18245,4,4+-char,这是方方面面。,This is an all sides; all aspects.
无济于事,無濟於事,wú jì yú shì,(idiom) to no avail; of no use,"newest-7, new-7",v,18284,4,4+-char,我每天都无济于事。,I to no avail; of no use every day.
力所能及,力所能及,lì suǒ néng jí,as far as one's capabilities extend (idiom); to the best of one's ability; within one's powers,"newest-7, new-7, old-6",l,18286,4,4+-char,我在学习“力所能及”。,I'm learning '力所能及'.
当之无愧,當之無愧,dāng zhī wú kuì,"fully deserving, without any reservations (idiom); entirely worthy (of a title, honor etc)","newest-7, new-7",v,18312,4,4+-char,我每天都当之无愧。,"I fully deserving, without any reservations ; entirely worthy every day."
源源不断,源源不斷,yuán yuán bù duàn,a steady flow (idiom); an unending stream,"newest-7, new-7",v,18347,4,4+-char,我每天都源源不断。,I a steady flow ; an unending stream every day.
这就是说,這就是說,zhè jiù shì shuō,in other words; that is to say,new-6,c,18506,4,4+-char,我在学习“这就是说”。,I'm learning '这就是说'.
如愿以偿,如願以償,rú yuàn yǐ cháng,to have one's wish fulfilled,"newest-7, new-7",v,18537,4,4+-char,我每天都如愿以偿。,I to have one's wish fulfilled every day.
一言不发,一言不發,yī yán bù fā,to not say a word (idiom),"newest-7, new-7",v,18750,4,4+-char,我每天都一言不发。,I to not say a word every day.
诸如此类,諸如此類,zhū rú cǐ lèi,things like this (idiom); and so on; and the rest; etc,"newest-7, new-7",l,18755,4,4+-char,我在学习“诸如此类”。,I'm learning '诸如此类'.
犹豫不决,猶豫不決,yóu yù bù jué,hesitancy; indecision; to waver,"newest-7, new-7",v,18782,4,4+-char,我每天都犹豫不决。,I hesitancy every day.
脱口而出,脫口而出,tuō kǒu ér chū,to blurt out; to let slip (an indiscreet remark),"newest-7, new-7",v,18812,4,4+-char,我每天都脱口而出。,I to blurt out; to let slip every day.
伊斯兰教,伊斯蘭教,Yī sī lán jiào,Islam,new-7,nz,18822,4,4+-char,这是伊斯兰教。,This is an Islam.
肆无忌惮,肆無忌憚,sì wú jì dàn,absolutely unrestrained; unbridled; without the slightest scruple,"newest-7, old-6",v,18846,4,4+-char,我每天都肆无忌惮。,I absolutely unrestrained every day.
一目了然,一目了然,yī mù liǎo rán,obvious at a glance (idiom),"newest-7, new-7, old-6",v,18968,4,4+-char,我每天都一目了然。,I obvious at a glance every day.
举足轻重,舉足輕重,jǔ zú qīng zhòng,to play a critical role (idiom); influential,"newest-7, old-6",v,18971,4,4+-char,我每天都举足轻重。,I to play a critical role every day.
应有尽有,應有盡有,yīng yǒu jìn yǒu,everything that should be here is here (idiom); all one can think of is on hand; to have all one needs,"newest-7, new-7",v,18982,4,4+-char,我每天都应有尽有。,I everything that should be here is here ; all one can think of is on hand every day.
无忧无虑,無憂無慮,wú yōu wú lǜ,carefree and without worries (idiom),"newest-7, new-7, old-6",v,19001,4,4+-char,我每天都无忧无虑。,I carefree and without worries every day.
似曾相识,似曾相識,sì céng xiāng shí,déjà vu (the experience of seeing exactly the same situation a second time); seemingly familiar; apparently already acquainted,"newest-7, new-7",v,19017,4,4+-char,我每天都似曾相识。,I déjà vu every day.
随处可见,隨處可見,suí chù kě jiàn,can be seen everywhere,"newest-7, new-7",v,19060,4,4+-char,我每天都随处可见。,I can be seen everywhere every day.
